날짜,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20180126,23868,23782.32,28284.48,27648,27838.8,27755.28,26696.88,28802.16,32461.92,38419.2,39417.84,39409.92,39386.16,40734.72,40178.16,39760.56,38931.84,35442.72,31456.08,29452.32,32805.36,30092.4,27196.56,26500.32
20180127,21813.84,21807.36,27542.88,26850.96,25832.16,26407.44,26295.84,26187.12,28719.36,29376,29570.4,26026.56,27979.2,30436.56,29005.92,27201.6,25527.6,24630.48,24369.84,24300,28276.56,27307.44,25728.48,20723.76
20180128,20170.08,20248.56,25725.6,24085.44,17588.88,24644.16,23534.64,21851.28,26138.16,25113.6,23214.24,21309.12,23597.28,26531.28,24288.48,23794.56,23817.6,23681.52,23503.68,23724,27631.44,25997.76,23163.12,20753.28
20180129,21909.6,22029.12,26756.64,26099.28,25796.88,25871.04,24540.48,26769.6,30671.28,36956.88,36745.92,36720.72,37632.96,38556,38205.36,37933.2,37586.16,34596,30476.88,28562.4,28372.32,26587.44,22173.12,22720.32
20180130,23464.08,23323.68,27853.92,26992.08,26534.88,26581.68,24830.64,26890.56,30589.92,35684.64,35219.52,34490.16,34646.4,36583.2,36558.72,36454.32,35981.28,32266.8,28303.92,26745.12,27159.84,24975.36,20558.88,21124.08
20180131,22120.56,21822.48,21387.6,21293.28,21318.48,21872.16,23807.52,25823.52,28671.12,33890.4,33325.2,33256.8,33989.76,35552.16,35470.08,35256.96,34606.8,31286.16,27647.28,25778.16,26671.68,24995.52,20917.44,21700.8
20180201,22602.96,22480.56,26514.72,25971.12,25652.88,25793.28,24455.52,26187.12,28890.72,34011.36,33425.28,32609.52,32739.84,33668.64,33454.8,33339.6,32930.64,30415.68,27161.28,25760.88,26275.68,24632.64,20717.28,21522.24
20180202,22559.76,22223.52,26380.8,25878.96,25398.72,25219.44,23839.92,25704,28540.8,32808.96,32163.12,31268.16,31369.68,32464.08,32601.6,32313.6,31925.52,28860.48,25771.68,23942.16,25288.56,23360.4,20117.52,20882.88
20180203,19342.08,19251.36,24374.16,23258.16,23836.32,15546.24,20166.48,21074.4,26104.32,26372.16,26231.76,22832.64,24358.32,26835.12,25835.04,25078.32,24364.8,24477.84,24060.24,24305.04,27301.68,26195.04,24949.44,20495.52
20180204,19858.32,19989.36,25380,24581.52,25072.56,23426.64,20828.16,21188.16,25837.2,25215.12,24734.88,21229.92,23546.16,26283.6,25446.24,24842.16,24091.2,23858.64,23762.88,23936.4,27446.4,26687.52,25506.72,21033.36
20180205,22132.08,22038.48,26426.16,26254.8,25979.76,25940.16,24865.92,26789.76,30507.84,36693.36,36997.92,36065.52,37055.52,38016.72,37555.2,37277.28,36878.4,33930.72,32413.68,30395.52,31700.16,29728.8,27018.72,28228.32
20180206,23289.12,23183.28,27235.44,27099.36,26982.72,27016.56,25700.4,27786.96,31363.2,36660.96,36334.8,36232.56,37408.32,38021.04,37428.48,36863.28,36702.72,33700.32,30751.92,29382.48,32633.28,30096,27269.28,28169.28
20180207,23308.56,23091.12,27525.6,27234.72,26869.68,27142.56,25795.44,27542.16,30942,36038.88,35760.24,35200.8,36316.08,36524.88,35821.44,35547.12,35138.88,31850.64,29287.44,30205.44,30450.24,28474.56,25164,25354.8
20180208,22677.84,22745.52,26959.68,26094.24,25621.92,25711.92,26244.72,26649.36,29599.92,34516.8,33549.84,33012.72,33822,33917.76,33588.72,33264.72,32793.84,29436.48,26745.12,26076.24,26496,24722.64,21294,21808.08
20180209,22302.72,22040.64,21860.64,21642.48,21770.64,22312.8,24099.84,25773.12,28207.44,32528.88,32135.04,31314.24,31130.64,32276.16,31832.64,31087.44,30572.64,27520.56,23903.28,22689.36,23129.28,21689.28,17892,18588.24
20180210,17917.92,17668.8,17369.28,17288.64,17268.48,17467.92,18268.56,18567.36,19699.2,21006,22104,21962.88,21867.12,22116.96,22613.76,22960.8,23388.48,22854.96,22206.24,22520.16,21984.48,21455.28,20589.84,19920.24
20180211,19431.36,19661.04,23819.76,22716,22323.6,22138.56,21329.28,19356.48,19879.2,20132.64,20509.92,20178,20550.24,21896.64,22935.6,23476.32,24006.24,23607.36,22903.92,22964.4,22442.4,21808.8,20901.6,20378.16
20180212,21726,21836.16,26004.96,25061.76,24500.16,24783.12,25816.32,26311.68,29522.16,35035.2,35125.2,34717.68,34741.44,36252,36191.52,36185.04,35625.6,32369.76,28636.56,26911.44,26905.68,25081.2,20980.8,21574.8
20180213,22482.72,22487.04,26316.72,24984,24626.16,24910.56,25658.64,25884,28889.28,33110.64,32022.72,31916.88,31736.88,32737.68,32245.2,31815.36,31296.96,28437.84,25189.2,23667.12,24323.04,22581.36,18455.04,19250.64
20180214,20334.24,19986.48,19676.16,19653.84,19659.6,20301.84,22021.92,23079.6,25372.8,29041.2,28025.28,27721.44,28209.6,29035.44,28078.56,27565.2,27033.84,23729.04,21165.12,20177.28,21208.32,19893.6,16657.2,17748
20180215,17412.48,17305.92,17210.16,17160.48,17167.68,17287.2,18220.32,18178.56,18720,18609.84,18109.44,18203.76,17908.56,18018,18100.8,18319.68,18697.68,18943.92,18963.36,18532.8,18496.8,18267.12,18087.84,17795.52
20180216,17632.08,17631.36,17622,17615.52,17475.84,17629.92,18231.84,18049.68,18309.6,17668.8,16847.28,16948.08,16617.6,16845.12,17161.92,17288.64,17488.8,17920.8,17904.96,17979.84,18117.36,17846.64,17596.8,17366.4
20180217,16981.2,17348.4,17491.68,17567.28,17661.6,17939.52,18398.16,18246.24,18557.28,18390.24,18198,18426.96,18383.04,18912.24,19010.16,19338.48,19827.36,20107.44,19861.92,19548.72,19647.36,19332.72,18599.76,18052.56
20180218,18234.72,18195.12,18131.76,18023.76,17898.48,17918.64,18631.44,18470.88,18820.08,18416.16,18370.08,18364.32,18514.08,19153.44,19860.48,20133.36,20427.84,20515.68,20274.48,20201.76,19923.84,19644.48,18869.04,18275.76
20180219,19368,19251.36,19316.88,19242.72,19615.68,19909.44,21597.12,23296.32,26971.2,31383.36,30741.12,30322.08,30724.56,32549.76,32564.16,32337.36,31520.88,28132.56,24815.52,23969.52,24582.24,23024.16,18735.12,19278.72
20180220,20244.24,19815.12,19630.08,19949.04,20025.36,20728.08,22536.72,24255.36,26953.92,31108.32,30191.04,29661.12,29820.24,31073.76,30633.84,30737.52,30545.28,27586.8,24355.44,23210.64,23978.88,22218.48,18605.52,19451.52
20180221,20323.44,20008.8,20224.08,20188.8,20092.32,20959.92,22628.16,24472.8,27252,31642.56,30863.52,30483.36,30444.48,31443.12,30890.16,30825.36,30361.68,27209.52,24454.08,23626.8,24397.92,22741.2,19025.28,19639.44
20180222,20543.76,20295.36,20147.04,20055.6,20023.92,20702.88,22322.88,23891.76,26745.12,30639.6,29552.4,28943.28,29706.48,31204.08,31021.92,31104.72,30258,27253.44,24287.04,23082.48,23661.36,21851.28,18212.4,18821.52
20180223,19920.24,19624.32,19449.36,19262.88,19324.8,18677.52,12484.08,22827.6,25596.72,29365.92,28387.44,27498.96,27782.64,28732.32,28414.8,28675.44,28010.88,24871.68,22021.2,20643.12,21469.68,20048.4,16354.08,17102.88
20180224,16524.72,16461.36,16417.44,16252.56,16230.96,16570.08,14513.76,17477.28,18929.52,20139.84,20851.2,20666.16,20168.64,20532.96,20601.36,20711.52,20867.04,20347.92,20037.6,20122.56,19624.32,19095.84,18190.8,17527.68
20180225,17076.96,16728.48,16681.68,16621.2,16536.96,16793.28,17364.24,17130.96,17646.48,17986.32,17529.84,17405.28,17174.16,17904.96,18301.68,18767.52,19091.52,19166.4,19605.6,19707.84,19365.84,19063.44,18272.88,17629.92
20180226,19046.88,18940.32,18846,18777.6,18997.92,19556.64,21325.68,23027.76,26523.36,30476.16,29119.68,28308.96,28167.12,29368.08,29099.52,28841.76,28176.48,25378.56,22861.44,22154.4,23034.24,21406.32,17543.52,18331.92
20180227,19137.6,18932.4,18708.48,18704.16,18906.48,19657.44,21059.28,22186.8,24789.6,28728.72,27619.92,27655.92,28211.76,29741.04,29553.12,29236.32,28451.52,25261.2,22173.84,21431.52,21974.4,20610.72,16834.32,17642.16
20180228,18570.96,18325.44,18156.24,18120.24,18118.8,18956.88,20437.92,21316.32,23824.8,27340.56,26551.44,26140.32,27102.24,28800,28874.16,29081.52,28555.92,25459.2,22260.24,21033.36,21644.64,20046.96,16781.76,17526.96
20180301,16933.68,16756.56,16493.04,16421.04,16399.44,16666.56,16997.76,17067.6,18674.64,19627.92,20096.64,20067.12,19845.36,20833.92,21255.12,21631.68,21610.08,21636,21200.4,21294,20836.8,20147.76,19431.36,18842.4
20180302,19942.56,19681.92,19555.92,19416.24,19743.84,20396.88,22556.16,24622.56,27710.64,32090.4,30967.2,30484.08,30149.28,29816.64,28931.76,28270.08,27414,28239.84,25617.6,24618.24,23091.12,21206.88,19166.4,17565.84
20180303,16858.8,16534.08,16439.04,16314.48,16313.76,16640.64,17275.68,17340.48,18786.24,19743.12,19920.24,19372.32,18671.04,18821.52,18573.12,18557.28,18516.96,18216,17845.2,17817.12,17495.28,16956.72,16167.6,15584.4
20180304,15237.36,14932.08,14980.32,14988.24,14851.44,15045.84,15532.56,15369.12,16215.12,16410.96,16799.76,16778.88,16859.52,17568,17895.6,18461.52,18779.04,18297.36,17940.96,17968.32,17583.12,16917.84,16369.2,15834.24
20180305,16966.08,16894.08,16884,17079.12,16979.04,17766.72,19567.44,21471.12,24920.64,29940.48,28880.64,27871.92,28088.64,26419.68,25549.2,25116.48,24622.56,26050.32,24253.92,23639.04,22389.12,20809.44,18782.64,17468.64
20180306,18377.28,18071.28,17885.52,17838,17917.2,18668.16,20519.28,22180.32,25156.08,28765.44,27602.64,27038.16,26838.72,25506.72,25198.56,24719.76,24341.04,25646.4,23752.8,23222.16,21981.6,20260.8,18540,17424.72
20180307,18168.48,17805.6,17671.68,17513.28,17555.76,18437.76,20034.72,21379.68,24464.16,28450.08,27030.24,26368.56,27311.76,25948.08,25449.12,25016.4,24291.36,25557.84,23630.4,22543.2,21158.64,19548.72,17673.84,16543.44
20180308,17484.48,17156.16,17192.88,17058.24,17161.2,17949.6,19447.92,20742.48,23973.84,28058.4,27694.08,27506.88,27894.96,26128.8,25583.04,25001.28,24827.04,26012.88,23599.44,22932,21637.44,19808.64,18048.96,16912.8
20180309,17805.6,17533.44,17239.68,17123.76,17102.88,17771.76,19410.48,20792.16,23536.8,27356.4,26489.52,26192.16,26701.2,25288.56,24832.08,24862.32,24783.84,25293.6,22950,22263.12,20941.2,19434.96,17688.24,16475.76
20180310,15824.88,15667.2,15494.4,15407.28,15347.52,15631.2,16281.36,16314.48,17660.88,18532.8,19010.88,18924.48,18171.36,18531.36,18663.12,19085.76,19291.68,18828.72,18486.72,18726.48,18409.68,17610.48,16544.16,15682.32
20180311,15109.2,15031.44,14970.96,14798.16,14647.68,14982.48,15548.4,15461.28,16151.76,16300.08,16256.88,15968.16,15828.48,16501.68,16657.2,16932.96,17454.24,17547.84,17745.84,18064.8,17904.24,17385.12,16595.28,16042.32
20180312,17323.92,17149.68,16922.16,16819.2,16752.24,17499.6,19399.68,20813.04,24243.12,28144.8,26634.96,25556.4,25856.64,24179.76,23410.8,23122.8,22847.04,24329.52,22494.24,21968.64,20849.04,19218.96,17537.04,16395.12
20180313,17197.92,16922.16,16719.84,16480.8,16418.88,17326.08,18669.6,19686.24,22116.24,25565.76,24238.08,23164.56,23779.44,21874.32,21594.24,21452.4,21307.68,22735.44,21424.32,20464.56,19039.68,17875.44,16571.52,15423.84
20180314,16382.16,16220.88,16115.76,15951.6,15932.88,16691.76,17797.68,18326.16,19879.2,22231.44,20887.92,20648.88,21659.76,20028.24,19782.72,19706.4,19524.24,21047.04,19666.08,19000.08,18120.24,17030.88,15856.56,14840.64
20180315,15987.6,15753.6,15802.56,15755.04,15717.6,16381.44,17478.72,17962.56,18933.84,21839.76,21314.88,21662.64,23410.08,22132.08,21957.12,21908.16,21486.96,22876.56,21162.24,19679.76,18461.52,17254.8,16150.32,15189.12
20180316,16334.64,16016.4,15911.28,15978.96,16020.72,16786.8,18267.12,18918,20885.76,23426.64,21843.36,21685.68,22717.44,21345.84,20874.24,20678.4,20522.16,21292.56,19998,19248.48,18231.84,16858.8,15820.56,15068.16
20180317,14485.68,14356.8,14359.68,14324.4,14370.48,14767.2,15196.32,15148.8,16054.56,16897.68,17332.56,16748.64,16682.4,16640.64,16653.6,16624.08,16936.56,16764.48,16594.56,16762.32,16421.76,15854.4,15139.44,14545.44
20180318,14249.52,14155.92,14006.16,13875.84,13820.4,13926.96,14423.04,14340.24,14857.2,15305.76,15403.68,15201.36,15284.16,15845.04,16099.92,16225.92,16695.36,16578,16425.36,16831.44,16684.56,16216.56,15549.12,14855.76
20180319,15996.24,15856.56,15730.56,15564.96,15564.24,16454.16,17878.32,18672.48,21270.24,25338.24,24708.96,24912.72,26007.12,24948.72,24785.28,24891.12,24769.44,26067.6,23582.16,22291.92,20830.32,19076.4,17392.32,16118.64
20180320,16999.2,16745.76,16657.2,16485.12,16577.28,17370.72,18833.04,19820.88,22083.84,25889.76,24686.64,24354.72,25765.2,24760.08,24704.64,24932.88,24992.64,26453.52,24142.32,23313.6,21753.36,20126.88,18402.48,17055.36
20180321,17876.88,17624.16,17390.88,17253.36,17173.44,18115.2,19440.72,20573.28,23619.6,28214.64,28109.52,28346.4,29664,28821.6,28852.56,28360.8,27858.24,28707.12,25551.36,24431.04,22942.8,20831.04,18748.8,17439.84
20180322,18158.4,17825.04,17580.96,17502.48,17454.24,18209.52,19492.56,20576.16,23246.64,26786.16,25626.96,24730.56,25307.28,23558.4,22963.68,22916.88,22934.16,24292.8,22608.72,22208.4,20849.76,19245.6,17762.4,16584.48
20180323,17318.16,17015.04,17017.2,16854.48,17023.68,17774.64,19271.52,20061.36,22316.4,25758.72,24656.4,23480.64,24253.92,22898.16,22329.36,21805.92,21857.04,23250.24,21208.32,20439.36,19477.44,17905.68,16538.4,15441.84
20180324,14934.24,14633.28,14484.24,14485.68,14467.68,14755.68,15207.12,15164.64,16135.2,17230.32,17769.6,17217.36,16853.76,16868.88,16999.2,17161.92,17493.12,17380.08,17238.24,17424.72,17023.68,16398.72,15520.32,15064.56
20180325,14340.24,14192.64,14169.6,14002.56,14016.24,14243.04,14717.52,14540.4,15006.96,15022.8,14790.24,14550.48,14690.88,15014.88,15330.96,15587.28,16015.68,16146,16352.64,16666.56,16547.76,16176.24,15671.52,14850
20180326,16102.8,16040.16,16071.84,15955.92,15997.68,16663.68,18047.52,18845.28,21377.52,24593.04,22356,21816,23081.04,21450.96,20708.64,20508.48,20275.2,21861.36,20531.52,19990.08,18867.6,17702.64,16332.48,15368.4
20180327,16284.96,16019.28,15816.24,15622.56,15653.52,16364.16,17565.84,18221.04,19823.04,22176,20553.84,20530.08,21859.2,20478.24,19954.8,19867.68,20142,21550.32,20316.24,19585.44,18612.72,17406,16033.68,14967.36
